,(25/01) ¿Aprueba la moción de plantear vía votación ponderada el llamado a paralización por el 8M?,Unnamed: 20,Unnamed: 21,(17/02) ¿Aprueba la moción de plantear vía votación ponderada el llamado a marcha por el 8M con el petitorio presentado?,Unnamed: 24,Unnamed: 25,(07/03) Votación Ponderada - Moción: Paralización,Unnamed: 28,Unnamed: 29,(07/03) Votación Ponderada - Moción: Marcha,Unnamed: 32,Unnamed: 33,(21/03) ¿Aprueba la federación a la FEUC de la carrera de Medicina Veterinaria?,Unnamed: 36,Unnamed: 37,(21/03) Votación Delegatura Confech,Unnamed: 40,Unnamed: 41,Unnamed: 42,(31/03) ¿Aprueba el Petitorio Confech?,Unnamed: 45,Unnamed: 46,(04/04) Votación Ponderada. ¿Por quién vota para desempeñar el cargo de delegado/a Confech?,Unnamed: 49,Unnamed: 50,(25/04) Elección de los cuatro miembros Comisión de Seguridad en los Campus,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,(12/05) ¿Aprueba la moción de plantear vía votación ponderada el llamado a paralización por Salud Mental?,Unnamed: 60,Unnamed: 61,(12/05) ¿Aprueba la moción de plantear vía votación ponderada el llamado a movilización por Salud Mental?,Unnamed: 64,Unnamed: 65,(12/05) ¿Aprueba la moción de plantear vía votación ponderada el llamado a movilización por el Mayo Feminista?,Unnamed: 68,Unnamed: 69,(24/05) Votación Ponderada: ¿Aprueba la adhesión de la Universidad Católica a la movilización por el Mayo Feminista?,Unnamed: 72,Unnamed: 73,(24/05) ¿Aprueba la realización de iniciar un nuevo proceso electoral en Pedagogía Básica para elegir Centro de Estudiantes?,Unnamed: 76,Unnamed: 77,(09/06) Nominación de la FEUC como candidatura a Vocería Confech en Universidades Tradicionales,Unnamed: 80,Unnamed: 81,(09/06) Votación para bajar llamado a la marcha del Mes del Orgullo mediante votación ponderada,Unnamed: 84,Unnamed: 85,(09/06) Votación sobre adhesión a movilización por Educación No Sexista,Unnamed: 88,Unnamed: 89,"(09/06) Votación por solicitud de destitución de la Consejera Territorial   de Humanidades, Fernanda Vega",Unnamed: 92,Unnamed: 93
0,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo,Deborah Vásquez,Daniela      Riveros,Stephen        Pugh,Abstengo,Apruebo,Rechazo,Abstengo,"Deborah ""Debby"" Vásquez (Surgencia)","Stephen ""Willy"" Pugh (Solidaridad y Movimiento Gremial)",Abstengo,Ítalo Merino,Elizabet Henríquez,Jean Joublan,Cristóbal Aranda,Juliana Jiménez,Abstengo,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo,Apruebo,Rechazo,Abstengo
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,1,,,1,,,1,,,1,,,,1,
3,1,,,1,,,,,1,,,1,1,,,,,1,,,1,,1,,,,,1,,,,,,1,,,1,,,1,,,1,,,,,,1,,,1,,,1,1,,
4,1,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,1,,,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,1,
5,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,1,,1,,,1,,,1,,,,,,1,,,,,,1,,,1,,,,,1
6,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
7,,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,1,
8,,,1,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,1,,,,1,,1,,,1,,,,,1,,,1,,,1,,,,,,,,,1,,,1,,,1,,,1,,,,,,1,,1,,,,1,,1,,
10,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,,,1,1,,,,,,1,,,1,,,1,,,,,1,,,,1,,,1,,,1,,,,1,
11,,1,,1,,,,,1,,,1,1,,,1,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,
12,1,,,,1,,,1,,,1,,1,,,,,1,,,1,,,1,,,,1,,,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,1,,
13,1,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,,,,1,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,,1
14,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,1,,,,,1,,1,,,1,,,1,,,,,1,,,,1,,,1,,,1,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,1,,,1,,,1,,,1,,
16,1,,,,,,,,,,,,1,,,,1,,,1,,,,,,,1,,,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,,1
17,1,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,1,
18,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,1,
19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,1,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,1,
21,1,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,1,
22,1,,,1,,,1,,,1,,,1,,,,,1,,,1,,1,,,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,1,,
23,1,,,1,,,1,,,1,,,1,,,,,1,,,1,,,,1,,1,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,1,,
24,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,,1,
26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,1,
27,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,,,1,,,,1,,,1,,,1,,,1,,,,,1,1,,,1,,,1,,,1,,,,1,
28,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
